Nama,Harga,Stok,Link
iPhone 11 Pro - Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,8195000,3,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4id0p-jual-iphone-11-pro-fullset-original-like-new-second-bekas-garansi-6-bulan
iPhone 12 - Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,8825000,8,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4if6v-jual-iphone-12-fullset-original-like-new-second-bekas-garansi-6-bulan
iphone X TEN 64GB 256GB Bekas Ori Second Seken Fulset Kondisi Perfect Normal Kemulusan 9 6 - 9 8 Plus E X 10 Inter Garansi 7 Hari,3750000,47,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/7maudp-jual-iphone-x-ten-64gb-256gb-bekas-ori-second-seken-fulset-kondisi-perfect-normal-kemulusan-9-6-9-8-plus-e-x-10-inter-garansi-7-hari
Iphone 12 Pro 256GB - Gold,17729000,4,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl9ay-jual-iphone-12-pro-256gb-gold
Iphone 13 mini 256GB - Blue,15299000,6,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl98v-jual-iphone-13-mini-256gb-blue
iPhone 11 64Gb Green Second Fullset Mulus Terawat No Minus,5896000,181,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/3qp1q92-jual-iphone-11-64gb-green-second-fullset-mulus-terawat-no-minus
iPhone 11 64Gb Second Fullset mulus terawat,5896000,20,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/3bz3og0-jual-iphone-11-64gb-second-fullset-mulus-terawat
iphone X TEN 64GB 256GB Bekas Ori Second Seken Fulset Kondisi Perfect Normal Kemulusan 9 6 - 9 8 Plus E X 10 Inter Garansi 7 Hari,3750000,47,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/7maudp-jual-iphone-x-ten-64gb-256gb-bekas-ori-second-seken-fulset-kondisi-perfect-normal-kemulusan-9-6-9-8-plus-e-x-10-inter-garansi-7-hari
Iphone Xr 64Gb Second Fulllset No Minus Bagus,4146000,14,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2m2td1q-jual-iphone-xr-64gb-second-fulllset-no-minus-bagus
Apple iPhone X 256GB,3999000,11,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2km5xoo-jual-apple-iphone-x-256gb
Apple iPhone XS Max 64GB Second Mulus Ex International fullset,4780000,240,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/3nqo4h1-jual-apple-iphone-xs-max-64gb-second-mulus-ex-international-fullset
iphone XR 64GB 128GB 256GB Bekas Ori Second Seken Fulset Kondisi Perfect Normal Kemulusan 9 6 - 9 8 Plus E X Inter Garansi 7 Hari,4100000,50,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/1pkljsw-jual-iphone-xr-64gb-128gb-256gb-bekas-ori-second-seken-fulset-kondisi-perfect-normal-kemulusan-9-6-9-8-plus-e-x-inter-garansi-7-hari
IPhone 7 Plus 32 GB - Fullset - Apple 7Plus 32GB - COD Semarang,2870000,100,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4fszqup-jual-iphone-7-plus-32-gb-fullset-apple-7plus-32gb-cod-semarang
iPhone 12 - Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,8825000,8,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4if6v-jual-iphone-12-fullset-original-like-new-second-bekas-garansi-6-bulan
iphone 8 64gb second fullset,2798000,18,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/1a33k1n-jual-iphone-8-64gb-second-fullset
(OFFICIAL) Iphone 12 Pro Max 512GB - Gold,22449000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59fi1-jual-official-iphone-12-pro-max-512gb-gold
Iphone 13 256GB - Red,17429000,4,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl99g-jual-iphone-13-256gb-red
APPLE iPhone 11 Pro MAX 64GB - Gold (Official Warranty),15499000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59f24-jual-apple-iphone-11-pro-max-64gb-gold-official-warranty
Iphone 12 Pro Max 256GB - Silver,19449000,4,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl9ap-jual-iphone-12-pro-max-256gb-silver
(OFFICIAL) Iphone 12 mini 128GB - Blue,11999000,2,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h59f8p-jual-official-iphone-12-mini-128gb-blue
iPhone XS Max - Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,5125000,9,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4i9na-jual-iphone-xs-max-fullset-original-like-new-second-bekas-garansi-6-bulan
Apple iPhone XR 64GB 128GB 256GB - Garansi 1 tahun,4449000,7,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4b8fb67-jual-apple-iphone-xr-64gb-128gb-256gb-garansi-1-tahun
IPhone XR 64 GB - FULLSET - 64GB - APPLE - COD Jakarta,4250000,978,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2sqi8zs-jual-iphone-xr-64-gb-fullset-64gb-apple-cod-jakarta
iPhone 11 - Fullset Original Like New - Second - Bekas - Garansi 1 Tahun,7310000,10,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gzarlg-jual-iphone-11-fullset-original-like-new-second-bekas-garansi-1-tahun
Apple iPhone XS 64GB Second Mulus Ex International fullset,4280000,196,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/3ijj84z-jual-apple-iphone-xs-64gb-second-mulus-ex-international-fullset
Apple iPhone X 64GB Second mulus ex international usa fullset,3695000,163,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/11naav3-jual-apple-iphone-x-64gb-second-mulus-ex-international-usa-fullset
IPHONE 7 SECOND LIKENEW,1000000,45,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4goavx1-jual-iphone-7-second-likenew
iPhone 11 Pro Max- Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,9809000,9,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4ie51-jual-iphone-11-pro-max-fullset-original-like-new-second-bekas-garansi-6-bulan
iPhone 8 - Fullset Original Like New - Second - Bekas - Garansi 6 Bulan,2895000,6,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h4wffv-jual-iphone-8-fullset-original-like-new-second-bekas-garansi-6-bulan
Iphone Xr 128gb second fullset mulus,4698000,19,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/1ul44h9-jual-iphone-xr-128gb-second-fullset-mulus
(OFFICIAL) Iphone 12 Pro 512GB - Gold,21399000,2,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59faj-jual-official-iphone-12-pro-512gb-gold
(OFFICIAL) Iphone 12 Pro Max 512GB - Graphite,22449000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59fl7-jual-official-iphone-12-pro-max-512gb-graphite
Iphone 13 mini 128GB - Red,12979000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl98d-jual-iphone-13-mini-128gb-red
APPLE iPhone 11 Pro MAX 512GB - Midnight Green (Official Warranty),21499000,1,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4h59evd-jual-apple-iphone-11-pro-max-512gb-midnight-green-official-warranty
Iphone 13 256GB - Starlight,17399000,4,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gwl99j-jual-iphone-13-256gb-starlight
iPhone 11 Pro 256Gb Second Fullset mulus terawat,7996000,145,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/3d2wxya-jual-iphone-11-pro-256gb-second-fullset-mulus-terawat
iPhone 11 Pro 64Gb Second Fullset Nominus Like new,7096000,15,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/2x3uyha-jual-iphone-11-pro-64gb-second-fullset-nominus-like-new
iPhone XR - Fullset Original Like New - Second - Bekas - Garansi 1 Tahun,4760000,10,https://www.bukalapak.com/p/handphone/hp-smartphone/iphone/4gzk3cy-jual-iphone-xr-fullset-original-like-new-second-bekas-garansi-1-tahun
